from_id,monograph_url,title,section_count,trust_level
ingredient:coenzym_q10_ubidecarenone,https://trungtamthuoc.com/hoat-chat/coenzym-q10,Coenzym Q10 (Ubidecarenone),15,secondary_duocthu_reference
ingredient:colchicin,https://trungtamthuoc.com/hoat-chat/colchicin,Colchicin,32,secondary_duocthu_reference
ingredient:collagen,https://trungtamthuoc.com/hoat-chat/collagen,Collagen,23,secondary_duocthu_reference
ingredient:cordycepin,https://trungtamthuoc.com/hoat-chat/cordycepin,Cordycepin,15,secondary_duocthu_reference
ingredient:crotamiton,https://trungtamthuoc.com/hoat-chat/crotamiton,Crotamiton,18,secondary_duocthu_reference
ingredient:curcumin,https://trungtamthuoc.com/hoat-chat/curcumin,Curcumin,20,secondary_duocthu_reference
ingredient:cyclophosphamid,https://trungtamthuoc.com/hoat-chat/cyclophosphamide,Cyclophosphamid,25,secondary_duocthu_reference
ingredient:cycloserin,https://trungtamthuoc.com/hoat-chat/cycloserine,Cycloserin,24,secondary_duocthu_reference
ingredient:cyproheptadine,https://trungtamthuoc.com/hoat-chat/cyproheptadine,Cyproheptadine,17,secondary_duocthu_reference
ingredient:cytarabin,https://trungtamthuoc.com/hoat-chat/cytarabine,Cytarabin,30,secondary_duocthu_reference
ingredient:dabigatran_etexilate,https://trungtamthuoc.com/hoat-chat/dabigatran-etexilate,Dabigatran Etexilate,23,secondary_duocthu_reference
ingredient:danazol,https://trungtamthuoc.com/hoat-chat/danazol,Danazol,18,secondary_duocthu_reference
ingredient:dapagliflozin,https://trungtamthuoc.com/hoat-chat/dapagliflozin,Dapagliflozin,48,secondary_duocthu_reference
ingredient:deferasirox,https://trungtamthuoc.com/hoat-chat/deferasirox,Deferasirox,27,secondary_duocthu_reference
ingredient:deferipron,https://trungtamthuoc.com/hoat-chat/deferiprone,Deferipron,17,secondary_duocthu_reference
ingredient:desferrioxamin_mesilat,https://trungtamthuoc.com/hoat-chat/deferoxamine,Desferrioxamin mesilat,24,secondary_duocthu_reference
ingredient:deflazacort,https://trungtamthuoc.com/hoat-chat/deflazacort,Deflazacort,21,secondary_duocthu_reference
ingredient:dequalinium_dequalinium_chloride,https://trungtamthuoc.com/hoat-chat/dequalinium,Dequalinium (Dequalinium chloride),15,secondary_duocthu_reference
ingredient:desloratadine,https://trungtamthuoc.com/hoat-chat/desloratadine,Desloratadine,23,secondary_duocthu_reference
ingredient:desmopressin_ddavp,https://trungtamthuoc.com/hoat-chat/desmopressin,Desmopressin (DDAVP),17,secondary_duocthu_reference
ingredient:desogestrel,https://trungtamthuoc.com/hoat-chat/desogestrel,Desogestrel,15,secondary_duocthu_reference
ingredient:desonide,https://trungtamthuoc.com/hoat-chat/desonide,Desonide,15,secondary_duocthu_reference
ingredient:dexamethasone,https://trungtamthuoc.com/hoat-chat/dexamethasone,Dexamethasone,32,secondary_duocthu_reference
ingredient:dexclorpheniramin,https://trungtamthuoc.com/hoat-chat/dexclorpheniramin,Dexclorpheniramin,15,secondary_duocthu_reference
ingredient:dexibuprofen,https://trungtamthuoc.com/hoat-chat/dexibupropen,Dexibuprofen,15,secondary_duocthu_reference
ingredient:dexketoprofen,https://trungtamthuoc.com/hoat-chat/dexketoprofen,Dexketoprofen,15,secondary_duocthu_reference
ingredient:dexlansoprazole,https://trungtamthuoc.com/hoat-chat/dexlansoprazole,Dexlansoprazole,17,secondary_duocthu_reference
ingredient:dexpanthenol,https://trungtamthuoc.com/hoat-chat/dexpanthenol,Dexpanthenol,17,secondary_duocthu_reference
ingredient:dextromethorphan,https://trungtamthuoc.com/hoat-chat/dextromethorphan,Dextromethorphan,23,secondary_duocthu_reference
ingredient:dextrose_monohydrat,https://trungtamthuoc.com/hoat-chat/dextrose-monohydrat,Dextrose Monohydrat,18,secondary_duocthu_reference
ingredient:diacerein_diacetylrhein,https://trungtamthuoc.com/hoat-chat/diacerein,Diacerein (Diacetylrhein),23,secondary_duocthu_reference
ingredient:diazepam,https://trungtamthuoc.com/hoat-chat/diazepam,Diazepam,27,secondary_duocthu_reference
ingredient:dibencozide,https://trungtamthuoc.com/hoat-chat/dibencozid,Dibencozide,16,secondary_duocthu_reference
ingredient:diclofenac,https://trungtamthuoc.com/hoat-chat/diclofenac,Diclofenac,30,secondary_duocthu_reference
ingredient:dienogest,https://trungtamthuoc.com/hoat-chat/dienogest,Dienogest,17,secondary_duocthu_reference
ingredient:diethylphtalat,https://trungtamthuoc.com/hoat-chat/diethylphtalat,Diethylphtalat,14,secondary_duocthu_reference
ingredient:diethyltoluamide,https://trungtamthuoc.com/hoat-chat/diethyltoluamide,Diethyltoluamide,21,secondary_duocthu_reference
ingredient:difemerine,https://trungtamthuoc.com/hoat-chat/difemerine,Difemerine,14,secondary_duocthu_reference
ingredient:digoxin,https://trungtamthuoc.com/hoat-chat/digoxin,Digoxin,31,secondary_duocthu_reference
ingredient:dihydroergotamin,https://trungtamthuoc.com/hoat-chat/dihydroergotamine-mesylate,Dihydroergotamin,25,secondary_duocthu_reference
ingredient:diltiazem_hydrochlorid,https://trungtamthuoc.com/hoat-chat/diltiazem,Diltiazem Hydrochlorid,32,secondary_duocthu_reference
ingredient:dimenhydrinat,https://trungtamthuoc.com/hoat-chat/dimenhydrinate,Dimenhydrinat,25,secondary_duocthu_reference
ingredient:dinatri_adenosin_triphosphat,https://trungtamthuoc.com/hoat-chat/dinatri-adenosin-triphosphat,Dinatri Adenosin Triphosphat,20,secondary_duocthu_reference
ingredient:dinoproston,https://trungtamthuoc.com/hoat-chat/dinoprostone,Dinoproston,22,secondary_duocthu_reference
ingredient:diosmectit_dioctahedral_smectite,https://trungtamthuoc.com/hoat-chat/diosmectite,Diosmectit (Dioctahedral Smectite),19,secondary_duocthu_reference
