drug_id,name,normalized_name,source
drug:tolazamide,Tolazamide,tolazamide,ddinter
drug:tolbutamide,Tolbutamide,tolbutamide,ddinter
drug:dextromethorphan,Dextromethorphan,dextromethorphan,ddinter
drug:acebutolol,Acebutolol,acebutolol,ddinter
drug:acetaminophen,Acetaminophen,acetaminophen,ddinter
drug:caffeine,Caffeine,caffeine,ddinter
drug:dihydrocodeine,Dihydrocodeine,dihydrocodeine,ddinter
drug:codeine,Codeine,codeine,ddinter
drug:isometheptene,Isometheptene,isometheptene,ddinter
drug:amphetamine,Amphetamine,amphetamine,ddinter
drug:arformoterol,Arformoterol,arformoterol,ddinter
drug:atomoxetine,Atomoxetine,atomoxetine,ddinter
drug:bromocriptine,Bromocriptine,bromocriptine,ddinter
drug:dexmethylphenidate,Dexmethylphenidate,dexmethylphenidate,ddinter
drug:dextroamphetamine,Dextroamphetamine,dextroamphetamine,ddinter
drug:dihydroergotamine,Dihydroergotamine,dihydroergotamine,ddinter
drug:doxapram,Doxapram,doxapram,ddinter
drug:dichloralphenazone,Dichloralphenazone,dichloralphenazone,ddinter
drug:droxidopa,Droxidopa,droxidopa,ddinter
drug:ergometrine,Ergometrine,ergometrine,ddinter
drug:ergotamine,Ergotamine,ergotamine,ddinter
drug:guanethidine,Guanethidine,guanethidine,ddinter
drug:iobenguane_i_123,Iobenguane (I-123),iobenguane_i_123,ddinter
drug:isocarboxazid,Isocarboxazid,isocarboxazid,ddinter
drug:isoetharine,Isoetharine,isoetharine,ddinter
drug:levosalbutamol,Levosalbutamol,levosalbutamol,ddinter
drug:levomilnacipran,Levomilnacipran,levomilnacipran,ddinter
drug:linezolid,Linezolid,linezolid,ddinter
drug:lisdexamfetamine,Lisdexamfetamine,lisdexamfetamine,ddinter
drug:methylene_blue,Methylene blue,methylene_blue,ddinter
drug:methylergometrine,Methylergometrine,methylergometrine,ddinter
drug:methylphenidate,Methylphenidate,methylphenidate,ddinter
drug:methysergide,Methysergide,methysergide,ddinter
drug:midodrine,Midodrine,midodrine,ddinter
drug:milnacipran,Milnacipran,milnacipran,ddinter
drug:olodaterol,Olodaterol,olodaterol,ddinter
drug:oxytocin,Oxytocin,oxytocin,ddinter
drug:ozanimod,Ozanimod,ozanimod,ddinter
drug:phenelzine,Phenelzine,phenelzine,ddinter
drug:pirbuterol,Pirbuterol,pirbuterol,ddinter
drug:procarbazine,Procarbazine,procarbazine,ddinter
drug:racepinephrine,Racepinephrine,racepinephrine,ddinter
drug:safinamide,Safinamide,safinamide,ddinter
drug:selegiline,Selegiline,selegiline,ddinter
drug:solriamfetol,Solriamfetol,solriamfetol,ddinter
drug:tranylcypromine,Tranylcypromine,tranylcypromine,ddinter
drug:venlafaxine,Venlafaxine,venlafaxine,ddinter
drug:tramadol,Tramadol,tramadol,ddinter
